Title,Genres,IMDb,Directors,Country,Language
Her,Romance,8.0,['Spike Jonze'],['United States'],['English']
Her,Sci-Fi,8.0,['Spike Jonze'],['United States'],['English']
There Will Be Blood,Drama,8.2,['Paul Thomas Anderson'],['United States'],"['English', 'American Sign Language']"
The Social Network,Biography,7.7,['David Fincher'],['United States'],"['English', 'French']"
The Social Network,Drama,7.7,['David Fincher'],['United States'],"['English', 'French']"
Dallas Buyers Club,Biography,8.0,['Jean-Marc Vallée'],['United States'],"['English', 'Japanese']"
Dallas Buyers Club,Drama,8.0,['Jean-Marc Vallée'],['United States'],"['English', 'Japanese']"
The Perks of Being a Wallflower,Drama,8.0,['Stephen Chbosky'],['United States'],['English']
The Perks of Being a Wallflower,Romance,8.0,['Stephen Chbosky'],['United States'],['English']
Life of Brian,Comedy,8.1,['Terry Jones'],['United Kingdom'],"['English', 'Latin']"
Ex Machina,Drama,7.7,['Alex Garland'],"['United Kingdom', 'United States']",['English']
Ex Machina,Mystery,7.7,['Alex Garland'],"['United Kingdom', 'United States']",['English']
Ex Machina,Sci-Fi,7.7,['Alex Garland'],"['United Kingdom', 'United States']",['English']
Ex Machina,Thriller,7.7,['Alex Garland'],"['United Kingdom', 'United States']",['English']
Silver Linings Playbook,Comedy,7.7,['David O. Russell'],['United States'],['English']
Silver Linings Playbook,Drama,7.7,['David O. Russell'],['United States'],['English']
Silver Linings Playbook,Romance,7.7,['David O. Russell'],['United States'],['English']
District 9,Action,7.9,['Neill Blomkamp'],"['South Africa', 'United States', 'New Zealand', 'Canada']","['English', 'Nyanja', 'Afrikaans', 'Zulu', 'Xhosa', 'Southern Sotho']"
District 9,Sci-Fi,7.9,['Neill Blomkamp'],"['South Africa', 'United States', 'New Zealand', 'Canada']","['English', 'Nyanja', 'Afrikaans', 'Zulu', 'Xhosa', 'Southern Sotho']"
District 9,Thriller,7.9,['Neill Blomkamp'],"['South Africa', 'United States', 'New Zealand', 'Canada']","['English', 'Nyanja', 'Afrikaans', 'Zulu', 'Xhosa', 'Southern Sotho']"
The Irishman,Biography,7.9,['Martin Scorsese'],['United States'],"['English', 'Italian', 'Latin', 'Spanish', 'German']"
The Irishman,Crime,7.9,['Martin Scorsese'],['United States'],"['English', 'Italian', 'Latin', 'Spanish', 'German']"
The Irishman,Drama,7.9,['Martin Scorsese'],['United States'],"['English', 'Italian', 'Latin', 'Spanish', 'German']"
Moon,Drama,7.9,['Duncan Jones'],"['United Kingdom', 'United States']","['English', 'Spanish']"
Moon,Mystery,7.9,['Duncan Jones'],"['United Kingdom', 'United States']","['English', 'Spanish']"
Moon,Sci-Fi,7.9,['Duncan Jones'],"['United Kingdom', 'United States']","['English', 'Spanish']"
Marriage Story,Comedy,8.0,['Noah Baumbach'],"['United Kingdom', 'United States']","['English', 'Spanish']"
Marriage Story,Drama,8.0,['Noah Baumbach'],"['United Kingdom', 'United States']","['English', 'Spanish']"
Marriage Story,Romance,8.0,['Noah Baumbach'],"['United Kingdom', 'United States']","['English', 'Spanish']"
Drive,Crime,7.8,['Nicolas Winding Refn'],['United States'],"['English', 'Spanish']"
