Title,Directors,IMDb
Being Elmo: A Puppeteer's Journey,Philip Shane,7.6
Williams,Morgan Matthews,7.6
It Comes at Night,Trey Edward Shults,6.2
Cuba and the Cameraman,Jon Alpert,8.2
Creep,Patrick Brice,6.3
The Interview,Evan Goldberg,6.5
The Interview,Seth Rogen,6.5
Bobby Robson: More Than a Manager,Gabriel Clarke,8.2
Bobby Robson: More Than a Manager,Torquil Jones,8.2
Outbreak,Wolfgang Petersen,6.6
Black Snake Moan,Craig Brewer,6.9
Bright,David Ayer,6.3
Cargo,Ben Howling,6.3
Cargo,Yolanda Ramke,6.3
Even the Rain,Icíar Bollaín,7.4
Candyman,Bernard Rose,6.6
Mary and the Witch's Flower,Hiromasa Yonebayashi,6.8
Mary and the Witch's Flower,Giles New,6.8
Calibre,Matt Palmer,6.7
First They Killed My Father,Angelina Jolie,7.2
Us and Them,Rene Liu,7.3
Up in Smoke,Lou Adler,7.0
Up in Smoke,Tommy Chong,7.0
Final Destination,James Wong,6.7
Kill the Messenger,Michael Cuesta,6.9
Operation Odessa,Tiller Russell,7.8
The American Meme,Bert Marcus,7.3
Outlaw King,David Mackenzie,6.9
21,Robert Luketic,6.8
Holding the Man,Neil Armfield,7.4
Krisha,Trey Edward Shults,7.2
De Palma,Noah Baumbach,7.4
De Palma,Jake Paltrow,7.4
Dear Ex,Chih-Yen Hsu,7.4
Dear Ex,Mag Hsu,7.4
Tomorrow Never Dies,Roger Spottiswoode,6.5
Veronica,Elizabeth Banks,6.2
Veronica,Steven Brill,6.2
Veronica,Steve Carr,6.2
Veronica,Rusty Cundieff,6.2
Veronica,James Duffy,6.2
Veronica,Griffin Dunne,6.2
Veronica,Peter Farrelly,6.2
Veronica,Patrik Forsberg,6.2
Veronica,Will Graham,6.2
Veronica,James Gunn,6.2
Veronica,Brett Ratner,6.2
Veronica,Jonathan van Tulleken,6.2
Veronica,Bob Odenkirk,6.2
The Cakemaker,Ofir Raul Graizer,7.2
Instructions Not Included,Eugenio Derbez,7.5
Bleed for This,Ben Younger,6.8
Girl,Lukas Dhont,7.2
The Naked Gun 2½: The Smell of Fear,David Zucker,6.9
Bareilly's Barfi,Ashwiny Iyer Tiwari,7.5
The Sky Is Pink,Shonali Bose,7.5
Chitty Chitty Bang Bang,Ken Hughes,6.9
A Wednesday!,Neeraj Pandey,8.1
Jodhaa Akbar,Ashutosh Gowariker,7.6
Handsome Devil,John Butler,7.1
"Love, Rosie",Christian Ditter,7.2
Oceans,Jacques Perrin,7.8
Oceans,Jacques Cluzaud,7.8
The Ritual,David Bruckner,6.3
Super Dark Times,Kevin Phillips,6.6
Tallulah,Sian Heder,6.7
Other People,Chris Kelly,6.8
Alpha Dog,Nick Cassavetes,6.9
Spectral,Nic Mathieu,6.3
The Babysitter,McG,6.3
"Extremely Wicked, Shockingly Evil and Vile",Joe Berlinger,6.6
Heneral Luna,Jerrold Tarog,7.6
Click,Frank Coraci,6.4
The Duchess,Saul Dibb,6.9
The Last Man on the Moon,Mark Craig,7.4
The 24 Hour War,Nate Adams,7.2
The 24 Hour War,Adam Carolla,7.2
Mune: Guardian of the Moon,Alexandre Heboyan,7.2
Mune: Guardian of the Moon,Benoît Philippon,7.2
The Devil We Know,Stephanie Soechtig,7.7
The Devil We Know,Jeremy Seifert,7.7
How the Grinch Stole Christmas,Ron Howard,6.2
LA Originals,Estevan Oriol,7.3
Whisky,Juan Pablo Rebella,7.1
Whisky,Pablo Stoll,7.1
The Sapphires,Wayne Blair,7.0
Bloodsport,Newt Arnold,6.8
Tinker Bell and the Legend of the NeverBeast,Steve Loter,7.3
Get Me Roger Stone,Dylan Bank,7.4
Get Me Roger Stone,Daniel DiMauro,7.4
Get Me Roger Stone,Morgan Pehme,7.4
Alex Strangelove,Craig Johnson,6.3
She's Out of My League,Jim Field Smith,6.4
Sarah's Key,Gilles Paquet-Brenner,7.5
My Happy Family,Nana Ekvtimishvili,7.4
My Happy Family,Simon Groß,7.4
Killing Them Softly,Andrew Dominik,6.2
Ittefaq,Abhay Chopra,7.2
6 Underground,Michael Bay,6.1
The Accountant of Auschwitz,Matthew Shoychet,7.3
Echo in the Canyon,Andrew Slater,7.0
Hold the Dark,Jeremy Saulnier,5.6
Suffragette,Sarah Gavron,6.9
The Siege of Jadotville,Richie Smyth,7.2
Terminator Salvation,McG,6.5
Hotel Transylvania 3: Summer Vacation,Genndy Tartakovsky,6.3
Filmworker,Tony Zierra,7.4
Our Souls at Night,Ritesh Batra,6.9
Mine 9,Eddie Mensore,6.7
Everybody Knows,Asghar Farhadi,6.9
Retribution,unknown,6.6
Ice Guardians,Brett Harvey,7.5
Tinker Bell and the Pirate Fairy,Peggy Holmes,6.6
The World Is Not Enough,Michael Apted,6.4
Suite Française,Saul Dibb,7.0
Period. End of Sentence.,Rayka Zehtabchi,7.4
Beyond the Mat,Barry W. Blaustein,7.6
Next Gen,Kevin R. Adams,6.6
Next Gen,Joe Ksander,6.6
Next Gen,Ricardo Curtis,6.6
Cam,Daniel Goldhaber,5.9
Divines,Houda Benyamina,7.4
Shirkers,Sandi Tan,7.4
Underworld: Evolution,Len Wiseman,6.7
Om Shanti Om,Farah Khan,6.7
How to Change the World,Jerry Rothwell,7.6
Spitfire,John Cromwell,7.5
You Are My Sunday,Milind Dhaimade,7.7
Dear Zindagi,Gauri Shinde,7.6
Uncorked,Prentice Penny,6.1
The Water Diviner,Russell Crowe,7.0
Gaga: Five Foot Two,Chris Moukarbel,7.0
Austin Powers in Goldmember,Jay Roach,6.2
He Never Died,Jason Krawczyk,6.4
Black Sea,Kevin Macdonald,6.4
Ali's Wedding,Jeffrey Walker,6.9
Event Horizon,Paul W.S. Anderson,6.7
Mississippi Grind,Anna Boden,6.4
Mississippi Grind,Ryan Fleck,6.4
They'll Love Me When I'm Dead,Morgan Neville,7.4
Kai Po Che!,Abhishek Kapoor,7.6
Badla,Sujoy Ghosh,7.9
Young Adult,Jason Reitman,6.2
ZZ Top: That Little Ol' Band From Texas,Sam Dunn,7.4
Scary Movie,Wes Craven,6.2
The Dirt,Jeff Tremaine,7.0
Killer Klowns from Outer Space,Stephen Chiodo,6.2
The Exception,David Leveaux,6.8
Spenser Confidential,Peter Berg,6.2
Wheelman,Jeremy Rush,6.4
While We're Young,Noah Baumbach,6.3
Die Another Day,Lee Tamahori,6.1
The Grandmaster,Kar-Wai Wong,6.6
Bathtubs Over Broadway,Dava Whisenant,7.5
Cadillac Records,Darnell Martin,7.0
I am Divine,Jeffrey Schwarz,7.6
King Jack,Felix Thompson,7.0
The Runaways,Floria Sigismondi,6.5
2012,Roland Emmerich,5.8
The Half of It,Alice Wu,7.0
Tigertail,Alan Yang,6.4
Sleeping with Other People,Leslye Headland,6.5
What Lies Beneath,Robert Zemeckis,6.6
Fractured,Brad Anderson,6.4
Master Z: Ip Man Legacy,Woo-Ping Yuen,6.5
Neruda,Pablo Larraín,6.9
One Day,Lone Scherfig,7.0
Just Friends,Roger Kumble,6.2
Aśoka,unknown,6.5
Harold and Lillian: A Hollywood Love Story,Daniel Raim,8.0
The Grinch,Ron Howard,6.3
Qarib Qarib Singlle,Tanuja Chandra,7.0
Beasts of No Nation,Cary Joji Fukunaga,7.7
Time Trap,Mark Dennis,6.5
Time Trap,Ben Foster,6.5
Final Destination 2,David R. Ellis,6.2
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,Marcus Raboy,7.1
Dance Academy: The Movie,Jeffrey Walker,7.0
White Fang,Randal Kleiser,6.9
All the Bright Places,Brett Haley,6.5
Elena,Andrey Zvyagintsev,7.6
Underworld: Rise of the Lycans,Patrick Tatopoulos,6.6
Talaash,Reema Kagti,7.2
Kevin Hart: Laugh at My Pain,Leslie Small,7.4
