Title,Language,IMDb
The Last Man on the Moon,English,7.4
The 24 Hour War,English,7.2
Mune: Guardian of the Moon,French,7.2
Mune: Guardian of the Moon,English,7.2
The Devil We Know,unknown,7.7
How the Grinch Stole Christmas,English,6.2
LA Originals,English,7.3
Whisky,Spanish,7.1
Whisky,Portuguese,7.1
Whisky,Italian,7.1
The Sapphires,English,7.0
The Sapphires,Aboriginal,7.0
Bloodsport,English,6.8
Tinker Bell and the Legend of the NeverBeast,English,7.3
Get Me Roger Stone,English,7.4
Alex Strangelove,English,6.3
She's Out of My League,English,6.4
She's Out of My League,Ukrainian,6.4
Sarah's Key,French,7.5
Sarah's Key,English,7.5
Sarah's Key,Italian,7.5
Sarah's Key,German,7.5
Sarah's Key,Yiddish,7.5
My Happy Family,Georgian,7.4
Killing Them Softly,English,6.2
Ittefaq,Hindi,7.2
6 Underground,English,6.1
6 Underground,Turkmen,6.1
6 Underground,Cantonese,6.1
6 Underground,Italian,6.1
6 Underground,Spanish,6.1
6 Underground,Ukrainian,6.1
6 Underground,French,6.1
The Accountant of Auschwitz,English,7.3
The Accountant of Auschwitz,German,7.3
Echo in the Canyon,English,7.0
Hold the Dark,English,5.6
Suffragette,English,6.9
The Siege of Jadotville,English,7.2
The Siege of Jadotville,Irish,7.2
The Siege of Jadotville,French,7.2
Terminator Salvation,English,6.5
Terminator Salvation,Italian,6.5
Hotel Transylvania 3: Summer Vacation,English,6.3
Hotel Transylvania 3: Summer Vacation,Spanish,6.3
Hotel Transylvania 3: Summer Vacation,German,6.3
Hotel Transylvania 3: Summer Vacation,Russian,6.3
Filmworker,English,7.4
Our Souls at Night,English,6.9
Mine 9,English,6.7
Everybody Knows,Spanish,6.9
Everybody Knows,English,6.9
Everybody Knows,Catalan,6.9
Retribution,English,6.6
Ice Guardians,English,7.5
Tinker Bell and the Pirate Fairy,English,6.6
The World Is Not Enough,English,6.4
The World Is Not Enough,Russian,6.4
The World Is Not Enough,Spanish,6.4
Suite Française,English,7.0
Suite Française,German,7.0
Suite Française,French,7.0
Suite Française,Latin,7.0
Period. End of Sentence.,Hindi,7.4
Period. End of Sentence.,English,7.4
Beyond the Mat,English,7.6
Next Gen,English,6.6
Next Gen,Mandarin,6.6
Cam,English,5.9
Divines,French,7.4
Shirkers,English,7.4
Underworld: Evolution,English,6.7
Underworld: Evolution,French,6.7
Underworld: Evolution,Hungarian,6.7
Om Shanti Om,Hindi,6.7
Om Shanti Om,Urdu,6.7
How to Change the World,English,7.6
Spitfire,English,7.5
You Are My Sunday,Hindi,7.7
Dear Zindagi,Hindi,7.6
Uncorked,English,6.1
The Water Diviner,English,7.0
The Water Diviner,Turkish,7.0
The Water Diviner,Greek,7.0
The Water Diviner,Russian,7.0
Gaga: Five Foot Two,English,7.0
Austin Powers in Goldmember,English,6.2
Austin Powers in Goldmember,Japanese,6.2
Austin Powers in Goldmember,German,6.2
Austin Powers in Goldmember,French,6.2
He Never Died,English,6.4
Black Sea,English,6.4
Black Sea,Russian,6.4
Ali's Wedding,English,6.9
Ali's Wedding,Persian,6.9
Ali's Wedding,Arabic,6.9
Event Horizon,English,6.7
Event Horizon,Latin,6.7
Mississippi Grind,English,6.4
They'll Love Me When I'm Dead,English,7.4
Kai Po Che!,Hindi,7.6
Badla,Hindi,7.9
Young Adult,English,6.2
ZZ Top: That Little Ol' Band From Texas,English,7.4
Scary Movie,English,6.2
The Dirt,English,7.0
Killer Klowns from Outer Space,English,6.2
The Exception,English,6.8
Spenser Confidential,English,6.2
Wheelman,English,6.4
While We're Young,English,6.3
Die Another Day,English,6.1
Die Another Day,Korean,6.1
Die Another Day,Cantonese,6.1
Die Another Day,Spanish,6.1
Die Another Day,German,6.1
Die Another Day,Icelandic,6.1
Die Another Day,Italian,6.1
Die Another Day,Arabic,6.1
The Grandmaster,Mandarin,6.6
The Grandmaster,Cantonese,6.6
The Grandmaster,Japanese,6.6
Bathtubs Over Broadway,English,7.5
Cadillac Records,English,7.0
I am Divine,English,7.6
King Jack,English,7.0
The Runaways,English,6.5
2012,English,5.8
2012,French,5.8
2012,Tibetan,5.8
2012,Mandarin,5.8
2012,Russian,5.8
2012,Hindi,5.8
2012,Portuguese,5.8
2012,Latin,5.8
2012,Italian,5.8
2012,Spanish,5.8
The Half of It,Spanish,7.0
The Half of It,Hindi,7.0
The Half of It,English,7.0
The Half of It,Mandarin,7.0
The Half of It,French,7.0
Tigertail,English,6.4
Tigertail,Min Nan,6.4
Tigertail,Mandarin,6.4
Sleeping with Other People,English,6.5
What Lies Beneath,English,6.6
Fractured,English,6.4
Master Z: Ip Man Legacy,Cantonese,6.5
Master Z: Ip Man Legacy,Mandarin,6.5
Master Z: Ip Man Legacy,English,6.5
Neruda,Spanish,6.9
Neruda,French,6.9
Neruda,Dutch,6.9
Neruda,Mapudungun,6.9
One Day,English,7.0
Just Friends,English,6.2
Aśoka,English,6.5
Harold and Lillian: A Hollywood Love Story,English,8.0
The Grinch,English,6.3
Qarib Qarib Singlle,Hindi,7.0
Beasts of No Nation,English,7.7
Beasts of No Nation,Akan,7.7
Time Trap,English,6.5
Final Destination 2,English,6.2
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,English,7.1
Dance Academy: The Movie,English,7.0
White Fang,English,6.9
All the Bright Places,English,6.5
Elena,Russian,7.6
Underworld: Rise of the Lycans,English,6.6
Talaash,Hindi,7.2
Talaash,English,7.2
Talaash,Marathi,7.2
Talaash,Tamil,7.2
Kevin Hart: Laugh at My Pain,English,7.4
Gridiron Gang,English,6.9
Hot Rod,English,6.7
Bee Movie,English,6.1
Trash,Portuguese,7.2
Trash,English,7.2
The Photographer of Mauthausen,Spanish,6.7
The Photographer of Mauthausen,German,6.7
He's Just Not That Into You,English,6.4
Forks Over Knives,English,7.7
Bandits,English,6.5
Sanju,Hindi,7.8
Sanju,English,7.8
Blame!,Japanese,6.7
Quincy,English,7.6
DragonHeart,English,6.5
Bad Day for the Cut,English,6.5
We the Animals,English,6.9
Soul Surfer,English,7.0
Rocko's Modern Life: Static Cling,English,7.0
Haywire,English,5.8
Haywire,Spanish,5.8
Pink,Hindi,8.1
Pink,English,8.1
Stuart Little,English,5.9
Stuart Little,Dutch,5.9
Cutie and the Boxer,English,7.2
Cutie and the Boxer,Japanese,7.2
The World Is Yours,French,6.4
The World Is Yours,English,6.4
The World Is Yours,Spanish,6.4
The World Is Yours,Arabic,6.4
